episodes,Proposed with Reduction,Proposed No-Reduction,Contention-free,Contention-based,Semi-static,Round-robin,Heuristics
0,-0.2719150334596634,-0.1755778655409813,0.0,0.0,0.0,0.0,0.0
1,-0.2719150334596634,-0.1755778655409813,0.0,0.0,0.0,0.0,0.0
2,-0.2719150334596634,-0.1755778655409813,0.0,0.0,0.0,0.0,0.0
3,-0.2719150334596634,-0.1755778655409813,0.0,0.0,0.0,0.0,0.0
4,-0.2719150334596634,-0.1755778655409813,0.0,0.0,0.0,0.0,0.0
5,-0.2719150334596634,-0.1755778655409813,0.0,0.0,0.0,0.0,0.0
6,-0.2719150334596634,-0.1755778655409813,0.0,0.0,0.0,0.0,0.0
7,-0.2719150334596634,-0.1755778655409813,0.0,0.0,0.0,0.0,0.0
8,-0.2719150334596634,-0.1755778655409813,0.0,0.0,0.0,0.0,0.0
9,-0.2719150334596634,-0.1755778655409813,0.0,0.0,0.0,0.0,0.0
10,-0.2719150334596634,-0.1755778655409813,0.0,0.0,0.0,0.0,0.0
11,-0.2719150334596634,-0.1755778655409813,0.0,0.0,0.0,0.0,0.0
12,-0.2719150334596634,-0.1755778655409813,0.0,0.0,0.0,0.0,0.0
13,-0.2719150334596634,-0.1755778655409813,0.0,0.0,0.0,0.0,0.0
14,-0.2719150334596634,-0.1755778655409813,0.0,0.0,0.0,0.0,0.0
15,-0.2719150334596634,-0.1755778655409813,0.0,0.0,0.0,0.0,0.0
16,-0.2719150334596634,-0.1755778655409813,0.0,0.0,0.0,0.0,0.0
17,-0.2719150334596634,-0.1755778655409813,0.0,0.0,0.0,0.0,0.0
18,-0.2719150334596634,-0.1755778655409813,0.0,0.0,0.0,0.0,0.0
19,-0.2719150334596634,-0.1755778655409813,0.0,0.0,0.0,0.0,0.0
20,-0.28787720799446104,-0.19196492582559585,0.0,0.0,0.0,0.0,0.0
21,-0.28579315543174744,-0.18980831652879715,0.0,0.0,0.0,0.0,0.0
22,-0.28370910286903384,-0.18765170723199845,0.0,0.0,0.0,0.0,0.0
23,-0.283957901597023,-0.18803482502698898,0.0,0.0,0.0,0.0,0.0
24,-0.2842067003250122,-0.18841794282197952,0.0,0.0,0.0,0.0,0.0
25,-0.28999331369996073,-0.23836089670658112,0.0,0.0,0.0,0.0,0.0
26,-0.2957799270749092,-0.2883038505911827,0.0,0.0,0.0,0.0,0.0
27,-0.2966078594326973,-0.288544724881649,0.0,0.0,0.0,0.0,0.0
28,-0.2974357917904854,-0.2887855991721153,0.0,0.0,0.0,0.0,0.0
29,-0.29598273932933805,-0.28566487580537797,0.0,0.0,0.0,0.0,0.0
30,-0.29452968686819075,-0.2825441524386406,0.0,0.0,0.0,0.0,0.0
31,-0.2911203935742378,-0.2781595721840858,0.0,0.0,0.0,0.0,0.0
32,-0.2877111002802849,-0.2737749919295311,0.0,0.0,0.0,0.0,0.0
33,-0.2906507633626461,-0.27927019596099856,0.0,0.0,0.0,0.0,0.0
34,-0.2935904264450073,-0.284765399992466,0.0,0.0,0.0,0.0,0.0
35,-0.294671793282032,-0.2939298816025257,0.0,0.0,0.0,0.0,0.0
36,-0.2957531601190567,-0.3030943632125854,0.0,0.0,0.0,0.0,0.0
37,-0.29000924453139304,-0.2980359926819801,0.0,0.0,0.0,0.0,0.0
38,-0.2842653289437294,-0.2929776221513748,0.0,0.0,0.0,0.0,0.0
39,-0.28397938758134844,-0.29234248101711274,0.0,0.0,0.0,0.0,0.0
40,-0.2836934462189674,-0.29170733988285064,0.0,0.0,0.0,0.0,0.0
41,-0.28449391573667526,-0.29038140177726746,0.0,0.0,0.0,0.0,0.0
42,-0.2852943852543831,-0.2890554636716843,0.0,0.0,0.0,0.0,0.0
43,-0.28427422791719437,-0.28724334537982943,0.0,0.0,0.0,0.0,0.0
44,-0.2832540705800056,-0.2854312270879745,0.0,0.0,0.0,0.0,0.0
